Date,High,Low,Open,Close,Volume,Adj Close
2022-01-03,113.30000305175781,111.3499984741211,111.5,112.94999694824219,6684375.0,109.22688293457031
2022-01-04,114.9000015258789,113.25,113.69999694824219,114.05000305175781,5548059.0,110.2906265258789
2022-01-05,117.44999694824219,113.80000305175781,114.05000305175781,117.25,14249336.0,113.38514709472656
2022-01-06,117.6500015258789,113.05000305175781,117.30000305175781,117.25,7197038.0,113.38514709472656
2022-01-07,119.19999694824219,116.94999694824219,117.6500015258789,118.5,7535679.0,114.59394073486328
2022-01-10,120.1500015258789,118.30000305175781,119.0,119.69999694824219,6615734.0,115.75438690185547
2022-01-11,120.44999694824219,118.19999694824219,120.44999694824219,118.5999984741211,5946036.0,114.69064331054688
2022-01-12,120.0,118.3499984741211,119.19999694824219,119.1500015258789,7165590.0,115.22251892089844
2022-01-13,121.5,118.8499984741211,119.6500015258789,121.1500015258789,8373086.0,117.1565933227539
2022-01-14,124.4000015258789,121.3499984741211,121.5,123.30000305175781,14954005.0,119.23572540283203
2022-01-17,125.0,123.19999694824219,125.0,123.75,9699015.0,119.67089080810547
2022-01-18,125.55000305175781,123.3499984741211,124.19999694824219,123.94999694824219,14263853.0,119.86429595947266
2022-01-19,125.5999984741211,123.0,123.5999984741211,125.0999984741211,9913407.0,120.97638702392578
2022-01-20,125.94999694824219,124.3499984741211,125.0999984741211,125.5,6671672.0,121.36320495605469
2022-01-21,125.5,120.75,124.0,121.69999694824219,9818888.0,117.68846130371094
2022-01-24,122.44999694824219,119.9000015258789,121.0,120.3499984741211,13110559.0,116.38296508789062
2022-01-25,121.69999694824219,119.30000305175781,120.19999694824219,121.44999694824219,6434320.0,117.44670104980469
2022-01-27,123.75,119.80000305175781,120.9000015258789,122.69999694824219,8593559.0,118.6554946899414
2022-01-28,127.05000305175781,123.30000305175781,123.30000305175781,124.0999984741211,9996713.0,120.00935363769531
2022-01-31,128.0,124.19999694824219,126.69999694824219,125.19999694824219,13191388.0,121.07308959960938
2022-02-01,126.0,119.5,126.0,121.75,23085078.0,117.73681640625
2022-02-02,124.94999694824219,122.19999694824219,122.5,124.44999694824219,9832796.0,120.34781646728516
2022-02-03,125.8499984741211,124.1500015258789,125.4000015258789,124.6500015258789,8744759.0,120.54122924804688
2022-02-04,125.3499984741211,123.69999694824219,124.9000015258789,124.1500015258789,7149068.0,120.05770874023438
2022-02-07,124.5999984741211,122.5,124.5,122.9000015258789,8968249.0,118.84890747070312
2022-02-08,123.55000305175781,120.0,123.0999984741211,121.3499984741211,15697108.0,117.3499984741211
2022-02-09,121.69999694824219,117.75,118.5,121.05000305175781,11720982.0,121.05000305175781
2022-02-10,121.44999694824219,119.6500015258789,121.0999984741211,119.94999694824219,12080112.0,119.94999694824219
2022-02-11,122.6500015258789,119.05000305175781,119.5,122.05000305175781,17657900.0,122.05000305175781
2022-02-14,121.0,116.1500015258789,121.0,116.55000305175781,10975847.0,116.55000305175781
2022-02-15,119.0,114.5,117.0,118.75,8652149.0,118.75
2022-02-16,122.19999694824219,119.25,119.25,121.5,11782127.0,121.5
2022-02-17,123.94999694824219,120.5,122.8499984741211,121.4000015258789,11183068.0,121.4000015258789
2022-02-18,122.30000305175781,120.5999984741211,121.4000015258789,121.1500015258789,5319044.0,121.1500015258789
2022-02-21,121.1500015258789,118.5999984741211,120.0,119.19999694824219,5730295.0,119.19999694824219
2022-02-22,118.6500015258789,116.5,117.0,117.0999984741211,7606407.0,117.0999984741211
2022-02-23,118.30000305175781,116.5,117.80000305175781,117.1500015258789,5683477.0,117.1500015258789
